SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,BIT,MI,deltaRI,QualityFlag
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,3.657,0.41118294,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,3.672,0.413960654,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,3.757,0.464158883,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,3.884,0.422406891,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.2,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,4.094,0.494816809,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0,0.1,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,4.254,0.489844775,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.2,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,4.358,0.42813324,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0.2,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,5.099,0.447285475,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,5.109,0.473629339,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.2,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,5.154,0.499839311,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.2,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,5.306,0.506615371,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.2,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,5.472,0.4688702,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,5.661,0.486557871,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0.2,0
